,WT2_S2_L001,WT1_S1_L001,KO1_S4_L001,WT3_S3_L001,KO2_S5_L001,KO3_S6_L001
ENSMUSG00000001025,3157.0,5204.0,3548.0,5729.0,3603.0,7547.0
ENSMUSG00000001027,4.0,1.0,5.0,4.0,9.0,6.0
ENSMUSG00000001029,71.0,40.0,49.0,48.0,46.0,69.0
ENSMUSG00000001034,709.0,783.0,934.0,782.0,648.0,928.0
ENSMUSG00000001036,1932.0,1924.0,2390.0,2090.0,1607.0,2074.0
ENSMUSG00000001039,982.0,1319.0,1042.0,1310.0,1272.0,1230.0
ENSMUSG00000001052,1773.0,1464.0,1957.0,1767.0,1281.0,1613.0
ENSMUSG00000001053,183.0,261.0,265.0,255.0,181.0,287.0
ENSMUSG00000001054,1256.0,1488.0,1568.0,1539.0,1291.0,1493.0
ENSMUSG00000001056,556.0,791.0,694.0,774.0,766.0,1070.0
ENSMUSG00000001062,1152.0,1231.0,1336.0,1227.0,1179.0,1174.0
ENSMUSG00000001065,832.63,782.3,755.8,804.02,613.08,612.83
ENSMUSG00000001076,0.0,0.0,1.0,0.0,0.0,0.0
ENSMUSG00000001082,542.0,649.0,725.0,696.0,644.0,819.0
ENSMUSG00000001089,1298.0,953.0,1097.0,1266.0,703.0,958.0
ENSMUSG00000001095,123.0,154.98,138.0,151.98,58.0,95.0
ENSMUSG00000001098,2904.16,2740.72,2577.46,3090.86,1990.52,3107.52
ENSMUSG00000001100,1963.0,2060.0,2098.0,2259.0,1985.0,2095.0
ENSMUSG00000001103,2.0,0.0,2.0,0.0,0.0,0.0
ENSMUSG00000001105,1485.0,2130.0,1520.0,2280.0,1804.0,2368.0
ENSMUSG00000001119,2254.0,2355.0,3236.0,2550.0,2086.0,2929.0
ENSMUSG00000001120,837.0,947.0,1267.0,949.0,805.0,1106.0
ENSMUSG00000001123,568.0,570.0,711.0,615.0,766.0,653.0
ENSMUSG00000001127,2434.0,2748.0,2821.0,2838.0,2142.0,2906.0
ENSMUSG00000001128,185.0,222.0,190.0,189.0,204.0,272.0
ENSMUSG00000001131,258.0,348.0,378.0,386.0,433.0,728.0
ENSMUSG00000001134,410.21,587.21,505.56,535.56,509.23,646.37
ENSMUSG00000001138,608.0,615.0,768.0,651.0,493.0,683.0
ENSMUSG00000001143,6200.0,5993.0,6326.0,5954.0,4156.0,5632.0
ENSMUSG00000001150,1629.0,1546.0,1788.82,1599.0,1180.0,1507.0
ENSMUSG00000001151,1258.0,882.0,1170.0,1170.0,743.0,1009.0
ENSMUSG00000001155,3.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000001156,1042.0,882.0,1139.0,916.0,866.0,1019.0
ENSMUSG00000001157,1448.0,1447.0,1517.0,1391.0,1010.0,1610.0
ENSMUSG00000001158,1481.0,1895.0,1364.0,1920.0,1429.0,1928.0
ENSMUSG00000001166,148.0,177.0,173.0,189.0,207.0,198.0
ENSMUSG00000001168,1.0,0.0,0.0,0.0,0.0,1.0
ENSMUSG00000001173,1744.0,1476.0,1894.0,1658.0,1107.0,1538.0
ENSMUSG00000001175,135708.06,148927.88,149735.1,163412.12,113448.62,126304.68
ENSMUSG00000001211,9616.0,9583.0,9435.0,10388.0,6902.0,8214.0
ENSMUSG00000001225,2.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000001227,155.0,186.0,138.0,188.0,144.0,146.0
ENSMUSG00000001228,281.0,284.0,381.35,258.0,356.86,313.0
ENSMUSG00000001229,1577.0,1581.0,1675.0,1502.0,1005.0,1449.0
ENSMUSG00000001240,271.0,396.0,396.7,380.0,367.21,557.27
ENSMUSG00000001247,2229.52,2339.79,2626.43,2540.23,2178.3,2755.45
ENSMUSG00000001248,1049.0,1252.0,1133.97,1060.96,954.0,1189.0
ENSMUSG00000001249,1309.0,1777.0,1390.0,1732.0,1227.0,1899.0
ENSMUSG00000001260,0.0,3.0,0.0,1.0,0.0,1.0
ENSMUSG00000001270,35599.89,49658.04,41485.82,50778.23,30580.78,55123.97
ENSMUSG00000001280,2625.0,2001.0,2631.0,2099.0,1597.0,2318.0
ENSMUSG00000001281,215.0,133.0,148.0,185.0,273.0,237.0
ENSMUSG00000001285,964.32,1361.23,1184.19,1315.97,1102.06,1564.94
ENSMUSG00000001288,6760.0,7678.0,7548.0,7285.0,4868.0,8723.0
ENSMUSG00000001289,5429.69,8867.53,5696.6,9637.4,6290.65,9921.65
ENSMUSG00000001300,1348.0,995.0,1127.0,1231.0,853.0,999.0
ENSMUSG00000001305,215.0,321.0,280.0,297.0,272.0,385.0
ENSMUSG00000001313,1627.21,2158.22,1968.34,2335.0,1558.59,2457.66
ENSMUSG00000001323,1030.37,753.43,904.86,1003.72,785.91,831.62
ENSMUSG00000001333,150.08,99.39,113.58,148.95,103.92,61.74
ENSMUSG00000001334,64.0,68.0,48.0,107.0,65.0,53.0
ENSMUSG00000001348,3463.0,2761.0,3432.0,3685.0,3988.0,5969.0
ENSMUSG00000001349,427.0,527.0,393.0,641.0,426.0,721.0
ENSMUSG00000001366,2218.0,2417.0,2510.0,2757.0,2175.0,2601.0
ENSMUSG00000001376,993.0,953.0,1123.0,1009.0,844.0,988.0
ENSMUSG00000001380,1466.76,1814.62,1912.0,1834.36,1607.66,1811.95
ENSMUSG00000001383,2700.0,3545.0,3114.0,3513.0,2705.0,4034.0
ENSMUSG00000001403,286.0,332.0,399.0,296.0,450.0,476.01
ENSMUSG00000001415,4454.0,4832.0,5076.0,5024.0,4018.0,4654.0
ENSMUSG00000001416,5009.98,5835.0,5052.0,5542.97,4276.0,6287.0
ENSMUSG00000001418,2425.3,2905.46,2683.45,2934.12,2578.35,2875.01
ENSMUSG00000001419,2704.1,2139.29,2483.45,2429.4,1462.64,1964.0
ENSMUSG00000001420,366.7,313.54,385.55,418.88,331.65,351.99
ENSMUSG00000001424,2594.0,2934.0,3104.0,2931.0,2968.0,3681.0
ENSMUSG00000001435,1060.0,1211.0,1422.0,1257.0,939.0,1222.0
ENSMUSG00000001436,729.0,808.0,875.0,900.0,763.0,859.0
